Food Item,Breakfast,Lunch,Dinner,Fish,Soybeans,Wheat,Gluten,Milk,Tree Nuts,Eggs,Sesame,Crustacean Shellfish,Gluten Friendly,Less Sodium,Smart Check,Vegan,Vegetarian,Contains Nuts
Bacon,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Buttermilk Pancakes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cage Free Boiled Eggs,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Home Fries,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Omelet Bar,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plant Based Pancakes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scrambled Eggs,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scrambled Eggs with American Cheese,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chocolate Chip Muffins,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grilled Chicken Bella,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lemon Tofu,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chickpea Rotini With Tomato and Mozzarella,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Muffuletta,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pancake Topping Bar,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chicken Noodle Soup,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Italian Vegetables,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marinara Sauce,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mozzarella Sticks,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cherry White Chocolate Cookies,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jonathan Bar,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crispy Dijon Scrod,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belgian Waffle Bar,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Black Bean Burger,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lebanese Beef Kofta Meatballs,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
