Food Item, Dining Hall, Meal, Allergens, Dietary Restrictions, Date, Calories, Serving Size, Total Fat, Total Carbohydrates, Saturated Fat, Dietary Fiber , Trans Fat, Total Sugars, Cholesterol, Added Sugars, Sodium, Protein, Calcium, Iron, Vitamin D, Potassium
Bacon,North,Breakfast,,"['Gluten Friendly', 'Less Sodium']",2023-01-19,45,2 EACH,3.5g,0g,1.5g,0g,0g,0g,10mg,0g,125mg,3g,0mg,0mg,mcg,mg
Breakfast Ham,North,Breakfast,,['Gluten Friendly'],2023-01-19,71,2 OZ,2.5g,3g,1g,0g,g,3g,30.4mg,0g,759.4mg,9.1g,0mg,0.4mg,mcg,mg
Buttermilk Pancakes,North,Breakfast,"Milk, Eggs, Wheat","['Less Sodium', 'Vegetarian']",2023-01-19,512,2 EACH,24g,57.1g,2.5g,0g,0g,17.2g,114.6mg,14.2g,453.1mg,13.1g,300.6mg,3.6mg,0.7mcg,207.8mg
Buttermilk Waffles,North,Breakfast,"Milk, Eggs, Wheat, Soybeans","['Less Sodium', 'Vegetarian']",2023-01-19,224,1 EACH,8.5g,28.5g,1g,0g,0g,8.6g,57.3mg,7.1g,199.9mg,6.5g,135.6mg,1.8mg,0.3mcg,103.9mg
Cheesy Scrambled Eggs,North,Breakfast,"Milk, Eggs","['Gluten Friendly', 'Less Sodium', 'Vegetarian']",2023-01-19,158,3 OZ,10.5g,0g,4.4g,0g,0g,0g,305.6mg,0g,166.5mg,12.5g,104.3mg,1.9mg,1.7mcg,113.5mg
Cream of Wheat,North,Breakfast,"Milk, Wheat","['Less Sodium', 'Vegetarian']",2023-01-19,152,6 ozl,3.2g,22.8g,1.9g,0g,0g,8.3g,12.7mg,0g,142.9mg,7.6g,412.9mg,5.7mg,3.2mcg,mg
Hard Boiled Eggs,North,Breakfast,Eggs,"['Gluten Friendly', 'Less Sodium', 'Vegetarian']",2023-01-19,150,2 EACH,10g,2g,3g,0g,0g,0g,430mg,0g,140mg,12g,40mg,1.4mg,0mcg,mg
O'Brien Potatoes,North,Breakfast,Soybeans,"['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-01-19,127,4 OZ,4g,21g,1.3g,0.2g,0g,0.5g,0.1mg,0g,167.5mg,1.4g,2.1mg,0mg,0mcg,17.4mg
Oatmeal Hot Cereal,North,Breakfast,Gluten,"['Less Sodium', 'Smart Check', 'Vegetarian', 'Vegan']",2023-01-19,106,8 OZL,2.1g,19.1g,0.4g,0g,0g,0.7g,0mg,0g,82.1mg,3.5g,18.7mg,1.1mg,0mcg,106.3mg
Scrambled Eggs,North,Breakfast,Eggs,"['Gluten Friendly', 'Less Sodium', 'Vegetarian']",2023-01-19,132,3 OZ,8.5g,0g,2.8g,0g,0g,0g,320mg,0g,122.4mg,11.3g,48.9mg,2mg,1.9mcg,122.4mg
Very Berry Topping,North,Breakfast,,"['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-01-19,40,1 oz,0g,9.9g,0g,0.5g,0g,7.5g,0mg,1.8g,2.3mg,0g,1.9mg,0.1mg,0mcg,18.7mg
Chocolate Chip Muffins,North,Breakfast,"Milk, Eggs, Wheat, Soybeans, The UConn bakery uses coconut (a tree nut).","['Less Sodium', 'Vegetarian']",2023-01-19,406,1 EACH,18.9g,53.7g,3.3g,0.5g,0g,35.2g,63.5mg,29.9g,228.8mg,4.7g,34.2mg,0.8mg,0.4mcg,81mg
Biscuits,North,Breakfast,"Milk, Wheat",['Vegetarian'],2023-01-19,260,1 EACH,10g,37g,6g,1g,0g,4g,0mg,0g,780mg,6g,20mg,1.8mg,mcg,mg
Sticky Rice,North,Breakfast,,"['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-01-19,139,3 OZ,0.2g,30.7g,0g,0g,0g,0g,0mg,0g,1.9mg,2.6g,5mg,0.3mg,0mcg,33.7mg
Omelet Bar,North,Breakfast,,[],2023-01-19,0,1 BAR,0g,0g,0g,0g,0g,0g,0mg,0g,36.3mg,0g,27.2mg,0mg,0mcg,0mg
Frittata,North,Breakfast,"Milk, Eggs","['Gluten Friendly', 'Less Sodium', 'Vegetarian']",2023-01-19,136,1 WEDGE,10.9g,2.5g,2.5g,0.2g,0g,1.1g,216.3mg,0g,227.9mg,6.6g,47mg,0.8mg,0.3mcg,12.6mg
Burrito w/ Black Bean and Yams,North,Lunch,"Wheat, Soybeans","['Smart Check', 'Vegetarian', 'Vegan']",2023-01-19,234,1/2 EACH,5.2g,39.2g,1.8g,1.8g,0g,4.4g,0mg,0g,657.1mg,7.2g,119.3mg,2.7mg,0mcg,270.3mg
Beef Tacos with Flour Tortilla,North,Lunch,"Wheat, Soybeans",[],2023-01-19,238,1 EACH,12.8g,16.6g,5.8g,0g,0.5g,1.8g,37.8mg,1g,600.5mg,12.1g,67.3mg,2.4mg,0mcg,32.5mg
Chicken Tacos,North,Lunch,"Wheat, Soybeans",[],2023-01-19,172,3 OZ,4.1g,16.5g,1g,0.1g,0g,2.6g,36mg,0.7g,741.6mg,14.9g,80.7mg,1.2mg,0mcg,89.5mg
Chef's Choice Soup du Jour,North,Lunch,Soybeans,[],2023-01-19,23,6 OZL,0g,3.4g,0g,0.4g,0g,2g,0mg,0g,310.3mg,0.9g,44.6mg,0mg,0mcg,100.5mg
Alfredo Sauce,North,Lunch,"Milk, Wheat","['Less Sodium', 'Vegetarian']",2023-01-19,325,4 OZL,27.2g,3.7g,17.3g,0g,0g,4.7g,88.8mg,0g,507.4mg,13g,1384.5mg,0.1mg,0.8mcg,4.7mg
Corn Taco Shell,North,Lunch,Soybeans,"['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-01-19,53,1 EACH,2.3g,7g,0.3g,0g,0g,0g,0mg,0g,0mg,0.7g,8.7mg,0.1mg,mcg,mg
