Food Item, Dining Hall, Meal, Allergens, Dietary Restrictions, Date, Calories, Serving Size, Total Fat, Total Carbohydrates, Saturated Fat, Dietary Fiber , Trans Fat, Total Sugars, Cholesterol, Added Sugars, Sodium, Protein, Calcium, Iron, Vitamin D, Potassium
Baked Ham,McMahon,Breakfast,,['Gluten Friendly'],2023-01-19,189,4 OZ,8.7g,5.8g,2.9g,0g,0g,5.8g,72.7mg,0g,1221.2mg,20.4g,mg,1mg,mcg,mg
Blueberry Pancakes,McMahon,Breakfast,"Milk, Eggs, Wheat","['Less Sodium', 'Vegetarian']",2023-01-19,498,2 EACH,20.7g,61g,2.3g,1.2g,0g,19.2g,114.6mg,14.2g,453.1mg,13.1g,304.6mg,3.7mg,0.7mcg,227.1mg
Chefs Omelet Du Jour,McMahon,Breakfast,"Milk, Eggs, Soybeans",[],2023-01-19,293,1 EACH,20.1g,1.5g,9.3g,0g,0g,0.5g,478.6mg,0g,507.5mg,22.1g,236.4mg,2.9mg,2.7mcg,203.7mg
Hard Boiled Eggs,McMahon,Breakfast,Eggs,"['Gluten Friendly', 'Less Sodium', 'Vegetarian']",2023-01-19,150,2 EACH,10g,2g,3g,0g,0g,0g,430mg,0g,140mg,12g,40mg,1.4mg,0mcg,mg
O'Brien Potatoes,McMahon,Breakfast,Soybeans,"['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-01-19,127,4 OZ,4g,21g,1.3g,0.2g,0g,0.5g,0.1mg,0g,167.5mg,1.4g,2.1mg,0mg,0mcg,17.4mg
Oatmeal Hot Cereal,McMahon,Breakfast,Gluten,"['Less Sodium', 'Smart Check', 'Vegetarian', 'Vegan']",2023-01-19,106,8 OZL,2.1g,19.1g,0.4g,0g,0g,0.7g,0mg,0g,82.1mg,3.5g,18.7mg,1.1mg,0mcg,106.3mg
Scrambled Eggs,McMahon,Breakfast,Eggs,"['Gluten Friendly', 'Less Sodium', 'Vegetarian']",2023-01-19,132,3 OZ,8.5g,0g,2.8g,0g,0g,0g,320mg,0g,122.4mg,11.3g,48.9mg,2mg,1.9mcg,122.4mg
Chocolate Chip Muffins,McMahon,Breakfast,"Milk, Eggs, Wheat, Soybeans, The UConn bakery uses coconut (a tree nut).","['Less Sodium', 'Vegetarian']",2023-01-19,406,1 EACH,18.9g,53.7g,3.3g,0.5g,0g,35.2g,63.5mg,29.9g,228.8mg,4.7g,34.2mg,0.8mg,0.4mcg,81mg
Sweet And Spicy Salmon With Creamy Corn And Asparagus,McMahon,Lunch,"Milk, Fish, Gluten",['Smart Check'],2023-01-19,309,1 PLATE,12g,19.8g,3.3g,1.8g,0g,4.2g,66.3mg,0g,676.8mg,28g,323.2mg,2.5mg,0mcg,271.7mg
Braised Beef With Risotto and Brussel Sprouts,McMahon,Lunch,Milk,['Gluten Friendly'],2023-01-19,545,1 PLATE,27.1g,37.5g,12.1g,4.3g,0g,5.5g,106.9mg,0g,998.5mg,36.2g,458mg,3.4mg,0mcg,745.6mg
Cavatappi,McMahon,Lunch,Wheat,"['Less Sodium', 'Vegetarian', 'Vegan']",2023-01-19,203,4 OZ,3.6g,37.7g,1.3g,1.8g,0g,1.8g,0mg,0g,0mg,6.3g,0mg,1.6mg,0mcg,107.8mg
Jerk Chicken With Rice And Peas,McMahon,Lunch,Soybeans,"['Gluten Friendly', 'Less Sodium']",2023-01-19,439,1 PLATE,12.2g,38.1g,1.9g,3.9g,0g,3.9g,164.1mg,0.4g,889.8mg,41.7g,216.2mg,4.8mg,0mcg,387.6mg
Marinara Sauce,McMahon,Lunch,,"['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-01-19,90,4 OZL,4g,12g,0g,2g,g,10g,0mg,0g,479mg,2g,40mg,1.4mg,0mcg,mg
Tofu With Black Bean Sauce,McMahon,Lunch,"Wheat, Soybeans, Gluten","['Vegetarian', 'Vegan']",2023-01-19,332,1 PLATE,14.5g,38.2g,1.2g,1.5g,0g,5.1g,0mg,1.7g,493mg,13g,108.9mg,2.4mg,0mcg,276.8mg
Chef's Choice Soup du Jour,McMahon,Lunch,Soybeans,[],2023-01-19,23,6 OZL,0g,3.4g,0g,0.4g,0g,2g,0mg,0g,310.3mg,0.9g,44.6mg,0mg,0mcg,100.5mg
Island Jerk Chicken,McMahon,Lunch,Soybeans,"['Gluten Friendly', 'Less Sodium', 'Smart Check']",2023-01-19,240,1 EACH,7.9g,3.3g,1.7g,0.8g,0g,1.4g,164.1mg,0.4g,375mg,35.1g,49.3mg,2.1mg,0mcg,66.4mg
Sauteed Mustard Greens,McMahon,Lunch,,"['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-01-19,28,2 OZ,0.9g,4.2g,0g,1.6g,0g,1.1g,0mg,0g,69.7mg,2.1g,93.5mg,0.7mg,0mcg,132.6mg
Yellow Rice with Pigeon Peas,McMahon,Lunch,,"['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-01-19,118,3 OZ,2.2g,21.4g,0.2g,0.5g,0g,0.7g,0mg,0g,307.7mg,2.6g,20mg,1.3mg,0mcg,91.7mg
Bourbon Brown Sugar Salmon,McMahon,Lunch,"Fish, Gluten","['Less Sodium', 'Smart Check']",2023-01-19,161,1 EACH,7g,0g,1g,0g,0g,0g,45.2mg,0g,332.4mg,22.1g,0mg,0mg,0mcg,0mg
Creamy Corn With Leeks And Bacon,McMahon,Lunch,Milk,"['Gluten Friendly', 'Less Sodium']",2023-01-19,127,4 OZ,4.4g,16.6g,2.2g,0g,0g,2.7g,21.1mg,0g,262.8mg,4g,303mg,0.7mg,0mcg,101.3mg
Grilled Asparagus,McMahon,Lunch,,"['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-01-19,22,3 OZ,0.6g,3.3g,0.1g,1.7g,0g,1.6g,0mg,0g,86.1mg,1.9g,20.4mg,1.8mg,0mcg,171.2mg
Tofu With Black Bean Sauce,McMahon,Lunch,"Wheat, Soybeans, Gluten","['Vegetarian', 'Vegan']",2023-01-19,332,8 OZ,14.5g,38.2g,1.2g,1.5g,0g,5.1g,0mg,0g,493mg,13g,108.9mg,2.4mg,0mcg,276.8mg
Parmesan Risotto,McMahon,Lunch,Milk,"['Gluten Friendly', 'Less Sodium', 'Vegetarian']",2023-01-19,182,3 OZ,8.6g,19.2g,5.5g,0.6g,0g,0.7g,27mg,0g,469.7mg,5.8g,305.7mg,0.2mg,0mcg,9.3mg
Roasted Brussel Sprouts With Balsamic,McMahon,Lunch,,"['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-01-19,97,4 OZ,5.3g,11g,0.8g,4.1g,0g,3.7g,0mg,0g,72.3mg,3.6g,45.6mg,1.5mg,0mcg,419.9mg
Shredded Beef Ragu,McMahon,Lunch,,"['Gluten Friendly', 'Less Sodium']",2023-01-19,229,4 OZ,11.6g,3.7g,4.1g,0.4g,0g,1.8g,70.9mg,0g,318mg,25.8g,16.2mg,2mg,0mcg,418.3mg
Cheese Pizza,McMahon,Lunch,"Milk, Wheat, The UConn bakery uses coconut (a tree nut).","['Less Sodium', 'Vegetarian']",2023-01-19,259,1 PLATE,12.3g,25.2g,5.6g,1.1g,0g,2.4g,25.7mg,0.5g,485.2mg,13.1g,263.7mg,1.5mg,0mcg,33.6mg
Greek Pizza,McMahon,Lunch,"Milk, Wheat, The UConn bakery uses coconut (a tree nut).",['Vegetarian'],2023-01-19,231,1 PLATE,9.6g,26.3g,4g,1.2g,0g,1.6g,18.7mg,0.5g,674.8mg,9g,68.2mg,1.7mg,0mcg,74.3mg
Cherry White Chocolate Cookies,McMahon,Lunch,"Milk, Eggs, Wheat, Soybeans, The UConn bakery uses coconut (a tree nut).","['Less Sodium', 'Vegetarian']",2023-01-19,180,1 EACH,7g,27g,3.5g,0g,0g,16g,15mg,0g,115mg,2g,26mg,0.7mg,mcg,mg
Jonathan Bar,McMahon,Lunch,"Milk, Eggs, Wheat, Soybeans, The UConn bakery uses coconut (a tree nut).","['Less Sodium', 'Vegetarian']",2023-01-19,344,1/35 HFPAN,14.6g,48.2g,8.6g,0g,0.4g,27.4g,49.7mg,27.1g,139.6mg,4g,6.9mg,1.3mg,0mcg,30.2mg
Scrod With Spring Vegetables And Miso Dressing,McMahon,Dinner,"Milk, Fish, Soybeans, Sesame","['Gluten Friendly', 'Smart Check']",2023-01-19,186,1 PLATE,7g,11.7g,1.2g,3.3g,0g,5.3g,46.8mg,0.7g,758.4mg,21g,64mg,2.6mg,0mcg,310.8mg
"Seared Chicken, Tarragon Cream Sauce, Root Vegetable Hash",McMahon,Dinner,Milk,"['Gluten Friendly', 'Smart Check']",2023-01-19,186,1 PLATE,7.7g,11.6g,1.9g,1.9g,0g,2.7g,53.3mg,0.1g,432.9mg,19.1g,121.4mg,0.9mg,0mcg,292.3mg
Cauliflower Fried Rice,McMahon,Dinner,"Soybeans, Sesame","['Gluten Friendly', 'Vegetarian', 'Vegan']",2023-01-19,230,1 PLATE,17.3g,14.7g,1.6g,3.5g,0g,4.4g,0mg,0g,719.1mg,7.8g,51.8mg,1.1mg,0mcg,361.8mg
Cavatappi,McMahon,Dinner,Wheat,"['Less Sodium', 'Vegetarian', 'Vegan']",2023-01-19,203,4 OZ,3.6g,37.7g,1.3g,1.8g,0g,1.8g,0mg,0g,0mg,6.3g,0mg,1.6mg,0mcg,107.8mg
Marinara Sauce,McMahon,Dinner,,"['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-01-19,90,4 OZL,4g,12g,0g,2g,g,10g,0mg,0g,479mg,2g,40mg,1.4mg,0mcg,mg
Root Beer Glazed Ham With Mac N Cheese,McMahon,Dinner,"Milk, Wheat, Soybeans",[],2023-01-19,441,1 PLATE,21.6g,30g,9.7g,3.4g,0g,12.5g,101.1mg,0g,1573.2mg,31.6g,284.3mg,2.3mg,1mcg,186.1mg
Chef's Choice Soup du Jour,McMahon,Dinner,Soybeans,[],2023-01-19,23,6 OZL,0g,3.4g,0g,0.4g,0g,2g,0mg,0g,310.3mg,0.9g,44.6mg,0mg,0mcg,100.5mg
Macaroni & Cheese,McMahon,Dinner,"Milk, Wheat, Soybeans","['Vegetarian', 'A vegetarian or vegan entree offfered at lunch or dinner that does not contain onions or garlic.']",2023-01-19,325,6 OZ,18.4g,25.4g,10g,0.8g,0g,4.9g,42.4mg,0g,505.2mg,14.3g,367.7mg,1mg,1.6mcg,80.5mg
Roasted Green Beans,McMahon,Dinner,,"['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-01-19,33,3 OZ,0.5g,6.9g,0.1g,2.8g,0g,3.2g,0mg,0g,14.5mg,1.7g,38.5mg,0.6mg,0mcg,127.6mg
Root Beer Glazed Ham,McMahon,Dinner,Milk,['Gluten Friendly'],2023-01-19,191,4 OZ,8.8g,6.2g,2.9g,0.1g,0g,6.1g,72.8mg,0g,1221.9mg,20.4g,0.8mg,1.1mg,0mcg,4.8mg
Grilled Asparagus,McMahon,Dinner,,"['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-01-19,22,3 OZ,0.6g,3.3g,0.1g,1.7g,0g,1.6g,0mg,0g,86.1mg,1.9g,20.4mg,1.8mg,0mcg,171.2mg
Miso Dressing,McMahon,Dinner,"Soybeans, Sesame","['Gluten Friendly', 'Less Sodium']",2023-01-19,48,1 OZL,3g,4g,0.4g,0g,0g,3.7g,0mg,2.8g,467.2mg,1g,3.4mg,0.2mg,0mcg,20.5mg
Roasted Spaghetti Squash,McMahon,Dinner,,"['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-01-19,63,4 OZ,4g,7.2g,0.6g,1.6g,0g,2.7g,0mg,0g,441.3mg,0.7g,24.2mg,0.4mg,0mcg,130.7mg
Scrod With Miso Butter,McMahon,Dinner,"Milk, Fish, Soybeans","['Gluten Friendly', 'Less Sodium', 'Smart Check']",2023-01-19,89,1 EACH,1.6g,0.2g,0.4g,0g,0g,0.1g,46.8mg,0g,118.7mg,18.1g,18.7mg,0.3mg,0mcg,4.5mg
Cauliflower Fried Rice,McMahon,Dinner,"Soybeans, Sesame","['Gluten Friendly', 'Vegetarian', 'Vegan']",2023-01-19,225,6 OZL,17.3g,13.9g,1.6g,3.1g,0g,4.5g,0mg,0g,725.2mg,7.5g,51.8mg,1mg,0mcg,373.4mg
Root Vegetable Hash,McMahon,Dinner,,"['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-01-19,76,3 OZ,3.6g,10.7g,0.3g,1.7g,0g,2.5g,0mg,0.1g,200.7mg,1.4g,22mg,0.4mg,0mcg,287.1mg
Seared Chicken Breast,McMahon,Dinner,,"['Gluten Friendly', 'Less Sodium', 'Smart Check']",2023-01-19,91,1 EACH,2.7g,0.1g,0.6g,0g,0g,0g,48.3mg,0g,190mg,17.2g,0.3mg,0.4mg,0mcg,1.1mg
Tarragon Cream Sauce,McMahon,Dinner,Milk,"['Gluten Friendly', 'Less Sodium']",2023-01-19,18,1 OZL,1.4g,0.8g,1g,0.2g,0g,0.2g,5mg,0g,42.1mg,0.5g,99.1mg,0mg,0mcg,4.1mg
Broccoli,McMahon,Dinner,,"['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-01-19,16,2 OZ,0.2g,2.9g,0g,1.3g,0g,0.8g,0mg,0g,15.3mg,1.7g,27.2mg,0.5mg,0mcg,184.3mg
Cheese Pizza,McMahon,Dinner,"Milk, Wheat, The UConn bakery uses coconut (a tree nut).","['Less Sodium', 'Vegetarian']",2023-01-19,259,1 PLATE,12.3g,25.2g,5.6g,1.1g,0g,2.4g,25.7mg,0.5g,485.2mg,13.1g,263.7mg,1.5mg,0mcg,33.6mg
General Tso's Chicken,McMahon,Dinner,"Eggs, Wheat, Soybeans, Gluten, Sesame",[],2023-01-19,364,6 OZ,19.7g,31.6g,2g,2.1g,0g,9.7g,36.8mg,7.3g,832.5mg,15.7g,15.5mg,1.6mg,0mcg,104.2mg
General Tso's Tofu,McMahon,Dinner,"Wheat, Soybeans, Gluten","['Less Sodium', 'Vegetarian', 'Vegan']",2023-01-19,194,4 OZ,11.8g,13.1g,1.1g,1g,0g,5.8g,0mg,0g,150.3mg,8.6g,88.1mg,1.5mg,0mcg,227.3mg
Mini Vegetable Egg Rolls,McMahon,Dinner,"Eggs, Wheat, Soybeans, Sesame",['Vegetarian'],2023-01-19,150,4 EACH,5.4g,21.4g,1.1g,0g,0g,2.1g,5.4mg,1.1g,588.8mg,4.3g,27.8mg,1.5mg,0mcg,128.5mg
White Rice,McMahon,Dinner,,"['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-01-19,91,3 OZ,0g,20.4g,0g,0g,0g,0g,0mg,0g,2.4mg,2.1g,19.5mg,1.1mg,0mcg,44mg
Cheese Pizza,McMahon,Dinner,"Milk, Wheat, The UConn bakery uses coconut (a tree nut).","['Less Sodium', 'Vegetarian']",2023-01-19,259,1 PLATE,12.3g,25.2g,5.6g,1.1g,0g,2.4g,25.7mg,0.5g,485.2mg,13.1g,263.7mg,1.5mg,0mcg,33.6mg
Chef's Choice Pizza,McMahon,Dinner,"Wheat, The UConn bakery uses coconut (a tree nut).",['Less Sodium'],2023-01-19,123,1/16 PIZZA,2.8g,20.4g,0.4g,1.2g,0g,1.6g,0mg,0.4g,186mg,3.6g,12.2mg,1.2mg,0mcg,27.8mg
Coconut Custard Pie,McMahon,Dinner,"Milk, Eggs, Wheat, Soybeans, Coconut, The UConn bakery uses coconut (a tree nut).",['Vegetarian'],2023-01-19,338,1/8 PIE,17.5g,40g,6.3g,0g,0g,18.8g,87.5mg,15g,512.5mg,7.5g,103.8mg,1.3mg,0mcg,156.3mg
Chefs Omelet Du Jour,McMahon,Breakfast,"Milk, Eggs, Soybeans",[],2023-01-20,293,1 EACH,20.1g,1.5g,9.3g,0g,0g,0.5g,478.6mg,0g,507.5mg,22.1g,236.4mg,2.9mg,2.7mcg,203.7mg
Chorizo Sausage Patties,McMahon,Breakfast,,"['Gluten Friendly', 'Less Sodium']",2023-01-20,158,1 EACH,14.3g,1g,4.5g,0g,0.1g,0g,29.3mg,0g,363.4mg,6.1g,13.1mg,0.7mg,mcg,mg
French Toast,McMahon,Breakfast,"Milk, Eggs, Wheat, Soybeans","['Less Sodium', 'Vegetarian']",2023-01-20,315,2 SLICES,9.9g,36.6g,2.9g,0g,0g,4.6g,263.4mg,2g,486mg,16.9g,180.3mg,3.6mg,2.6mcg,169.2mg
Fried Tater Tots,McMahon,Breakfast,"Soybeans, Gluten","['Vegetarian', 'Vegan']",2023-01-20,303,4 OZ,20.9g,26.3g,2.2g,2.8g,0g,0g,0mg,0g,497.9mg,2.8g,0mg,0.5mg,0mcg,318.1mg
