Food Item, Dining Hall, Meal, Allergens, Dietary Restrictions, Date, Calories, Serving Size, Total Fat, Total Carbohydrates, Saturated Fat, Dietary Fiber , Trans Fat, Total Sugars, Cholesterol, Added Sugars, Sodium, Protein, Calcium, Iron, Vitamin D, Potassium
Bacon,South,Breakfast,,"['Gluten Friendly', 'Less Sodium']",2023-01-19,45,2 EACH,3.5g,0g,1.5g,0g,0g,0g,10mg,0g,125mg,3g,0mg,0mg,mcg,mg
Breakfast Potatoes,South,Breakfast,Soybeans,"['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-01-19,126,4 OZ,3g,22.7g,1g,0.2g,0g,0g,0mg,0g,350.1mg,1.5g,2.2mg,0.1mg,0mcg,9.6mg
Buttermilk Pancakes,South,Breakfast,"Milk, Eggs, Wheat","['Less Sodium', 'Vegetarian']",2023-01-19,512,2 EACH,24g,57.1g,2.5g,0g,0g,17.2g,114.6mg,14.2g,453.1mg,13.1g,300.6mg,3.6mg,0.7mcg,207.8mg
Cheesy Scrambled Eggs,South,Breakfast,"Milk, Eggs","['Gluten Friendly', 'Less Sodium', 'Vegetarian']",2023-01-19,158,3 OZ,10.5g,0g,4.4g,0g,0g,0g,305.6mg,0g,166.5mg,12.5g,104.3mg,1.9mg,1.7mcg,113.5mg
Hard Boiled Eggs,South,Breakfast,Eggs,"['Gluten Friendly', 'Less Sodium', 'Vegetarian']",2023-01-19,150,2 EACH,10g,2g,3g,0g,0g,0g,430mg,0g,140mg,12g,40mg,1.4mg,0mcg,mg
Oatmeal Hot Cereal,South,Breakfast,Gluten,"['Less Sodium', 'Smart Check', 'Vegetarian', 'Vegan']",2023-01-19,80,6 OZL,1.6g,14.4g,0.3g,0g,0g,0.5g,0mg,0g,61.6mg,2.7g,14mg,0.8mg,0mcg,79.7mg
Plant-Based Breakfast Sausage,South,Breakfast,"Soybeans, Coconut","['Gluten Friendly', 'Contains Nuts', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-01-19,90,1 EACH,6g,4g,2.5g,0g,0g,0g,0mg,0g,210mg,6g,49mg,1mg,0mcg,280mg
Scrambled Eggs,South,Breakfast,Eggs,"['Gluten Friendly', 'Less Sodium', 'Vegetarian']",2023-01-19,132,3 OZ,8.5g,0g,2.8g,0g,0g,0g,320mg,0g,122.4mg,11.3g,48.9mg,2mg,1.9mcg,122.4mg
Chocolate Chip Muffins,South,Breakfast,"Milk, Eggs, Wheat, Soybeans, The UConn bakery uses coconut (a tree nut).","['Less Sodium', 'Vegetarian']",2023-01-19,406,1 EACH,18.9g,53.7g,3.3g,0.5g,0g,35.2g,63.5mg,29.9g,228.8mg,4.7g,34.2mg,0.8mg,0.4mcg,81mg
Chefs Omelet Du Jour,South,Breakfast,"Milk, Eggs, Soybeans",[],2023-01-19,293,1 EACH,20.1g,1.5g,9.3g,0g,0g,0.5g,478.6mg,0g,507.5mg,22.1g,236.4mg,2.9mg,2.7mcg,203.7mg
Fried Eggs,South,Breakfast,Eggs,"['Gluten Friendly', 'Less Sodium', 'Vegetarian']",2023-01-19,150,2 EACH,10g,2g,3g,0g,0g,0g,430mg,0g,140mg,12g,40mg,1.4mg,0mcg,mg
Fiesta Lime Chicken,South,Lunch,,"['Gluten Friendly', 'Less Sodium', 'Smart Check']",2023-01-19,93,1 EACH,2.7g,0.5g,0.6g,0g,0g,0.3g,48.3mg,0g,234.4mg,17.3g,1.3mg,0.4mg,0mcg,28.3mg
Chef's Choice Soup du Jour,South,Lunch,Soybeans,[],2023-01-19,23,6 OZL,0g,3.4g,0g,0.4g,0g,2g,0mg,0g,310.3mg,0.9g,44.6mg,0mg,0mcg,100.5mg
Beef Burger No Bun,South,Lunch,,"['Gluten Friendly', 'Less Sodium']",2023-01-19,247,1 EACH,15.7g,0g,5.9g,0g,0.7g,0g,80.7mg,0g,82.6mg,24.5g,25.4mg,2.5mg,0mcg,344.7mg
Beet and Kale Burger w/ Bun,South,Lunch,"Wheat, Soybeans","['Less Sodium', 'Smart Check', 'Vegetarian', 'Vegan']",2023-01-19,310,1 EA,3.5g,59g,0g,6g,0g,11g,0mg,0g,470mg,10g,63mg,1.4mg,0mcg,mg
Grilled Cheese,South,Lunch,"Milk, Wheat, Soybeans","['Vegetarian', 'A vegetarian or vegan entree offfered at lunch or dinner that does not contain onions or garlic.']",2023-01-19,279,1 EACH,15.5g,25g,9.3g,2g,0g,3g,40.5mg,2g,786.8mg,9.1g,171.6mg,1.3mg,0.1mcg,120.8mg
Grilled Chicken Breast,South,Lunch,,"['Gluten Friendly', 'Less Sodium', 'Smart Check']",2023-01-19,86,1 EACH,2.1g,0g,0.5g,0g,g,0g,48.3mg,0g,145mg,17.2g,mg,0.4mg,mcg,mg
Grilled Guinness Bratwurst,South,Lunch,Gluten,['Less Sodium'],2023-01-19,289,1 EACH,24.9g,3g,8g,0g,0g,1g,74.8mg,1g,757.7mg,13g,0mg,1.1mg,0mcg,179.4mg
Straight Cut French Fries,South,Lunch,"Soybeans, Gluten","['Vegetarian', 'Vegan']",2023-01-19,196,4 OZ,15.2g,17g,1.3g,1g,0g,1g,0mg,0g,520.3mg,1g,20mg,0.4mg,mcg,260.2mg
Grilled Chicken Caprese Grinder,South,Lunch,"Milk, Eggs, Wheat, Soybeans, The UConn bakery uses coconut (a tree nut).",[],2023-01-19,422,1 slice,15.6g,41.4g,6.1g,1g,0g,3.1g,59.6mg,0g,760.4mg,30.3g,277.8mg,3.1mg,0mcg,199.9mg
Baja Rice,South,Lunch,Soybeans,"['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-01-19,156,4 OZ,3.2g,28.6g,0.5g,0.3g,0g,0.6g,0mg,0g,227.3mg,3.1g,30.1mg,1.5mg,0mcg,100.1mg
Baked Sweet Potato,South,Lunch,,"['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-01-19,132,1 HALF,1.8g,27.1g,0.1g,4g,0g,5.6g,0mg,0g,74.1mg,2.1g,40.4mg,0.8mg,0mcg,453.8mg
Black Beans In Sofrito,South,Lunch,,"['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-01-19,69,3 OZ,0.4g,12.3g,0g,0.2g,0g,1.1g,0mg,0g,90.2mg,3.9g,25.4mg,1.1mg,0mcg,290mg
Grilled Salmon,South,Lunch,Fish,"['Gluten Friendly', 'Less Sodium', 'Smart Check']",2023-01-19,162,1 EACH,7.1g,0.1g,1g,0g,0g,0g,45.2mg,0g,86.5mg,22.1g,0.4mg,0mg,0mcg,1.2mg
Herb Buttered Corn,South,Lunch,Milk,"['Gluten Friendly', 'Less Sodium', 'Vegetarian']",2023-01-19,106,3 OZ,3.4g,17.2g,2.2g,0.1g,0g,1.1g,9.3mg,0g,114.6mg,1.1g,1.6mg,0.1mg,0mcg,3.2mg
Sesame Chicken & Vegetables,South,Lunch,"Eggs, Wheat, Soybeans, Gluten, Sesame",[],2023-01-19,244,4 OZ,13.6g,18.3g,1.5g,1.3g,0g,5.9g,26.7mg,5g,741.6mg,13g,26mg,0.9mg,1mcg,210.4mg
Szechuan Vegetable Stirfry,South,Lunch,,"['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-01-19,90,4 OZ,1.5g,14.6g,0.1g,1.8g,0g,3.7g,0mg,0g,261.4mg,4.5g,40.6mg,0.5mg,2.8mcg,228.4mg
Tokyo Noodles,South,Lunch,"Wheat, Soybeans, Sesame","['Vegetarian', 'Vegan']",2023-01-19,394,6 OZ,4.3g,77.6g,0.6g,1.9g,0g,11.8g,0mg,9.5g,613.1mg,15.2g,62.5mg,2.2mg,0mcg,35.6mg
White Rice,South,Lunch,,"['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-01-19,91,3 OZ,0g,20.4g,0g,0g,0g,0g,0mg,0g,2.4mg,2.1g,19.5mg,1.1mg,0mcg,44mg
Marinara Sauce,South,Lunch,,"['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-01-19,90,4 OZL,4g,12g,0g,2g,g,10g,0mg,0g,479mg,2g,40mg,1.4mg,0mcg,mg
Steamed Broccoli,South,Lunch,,"['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-01-19,24,3 OZ,0.3g,4.3g,0g,2g,0g,1.3g,0mg,0g,23mg,2.5g,40.8mg,0.7mg,0mcg,276.4mg
Cherry White Chocolate Cookies,South,Lunch,"Milk, Eggs, Wheat, Soybeans, The UConn bakery uses coconut (a tree nut).","['Less Sodium', 'Vegetarian']",2023-01-19,180,1 EACH,7g,27g,3.5g,0g,0g,16g,15mg,0g,115mg,2g,26mg,0.7mg,mcg,mg
Jonathan Bar,South,Lunch,"Milk, Eggs, Wheat, Soybeans, The UConn bakery uses coconut (a tree nut).","['Less Sodium', 'Vegetarian']",2023-01-19,344,1/35 HFPAN,14.6g,48.2g,8.6g,0g,0.4g,27.4g,49.7mg,27.1g,139.6mg,4g,6.9mg,1.3mg,0mcg,30.2mg
