Food Item, Dining Hall, Meal, Allergens, Dietary Restrictions, Date, Calories, Serving Size, Total Fat, Total Carbohydrates, Saturated Fat, Dietary Fiber , Trans Fat, Total Sugars, Cholesterol, Added Sugars, Sodium, Protein, Calcium, Iron, Vitamin D, Potassium
Bacon,Whitney,Breakfast,,"['Gluten Friendly', 'Less Sodium']",2023-01-19,45,2 EACH,3.5g,0g,1.5g,0g,0g,0g,10mg,0g,125mg,3g,0mg,0mg,mcg,mg
Buttermilk Pancakes,Whitney,Breakfast,"Milk, Eggs, Wheat","['Less Sodium', 'Vegetarian']",2023-01-19,512,2 EACH,24g,57.1g,2.5g,0g,0g,17.2g,114.6mg,14.2g,453.1mg,13.1g,300.6mg,3.6mg,0.7mcg,207.8mg
Cage Free Boiled Eggs,Whitney,Breakfast,Eggs,"['Gluten Friendly', 'Less Sodium', 'Vegetarian']",2023-01-19,150,2 EA,10g,2g,3g,0g,0g,0g,430mg,0g,140mg,12g,40mg,1.4mg,0mcg,mg
Home Fries,Whitney,Breakfast,Gluten,"['Less Sodium', 'Vegetarian', 'Vegan']",2023-01-19,194,4 OZ,11.2g,22.4g,0.8g,0g,0g,0g,0mg,0g,57.5mg,1.4g,0mg,0mg,0mcg,mg
Omelet Bar,Whitney,Breakfast,,[],2023-01-19,0,1 BAR,0g,0g,0g,0g,0g,0g,0mg,0g,36.3mg,0g,27.2mg,0mg,0mcg,0mg
Plant Based Pancakes,Whitney,Breakfast,"Wheat, Soybeans","['Less Sodium', 'Vegetarian', 'Vegan']",2023-01-19,453,2 EACH,18.1g,60g,1.1g,0g,0g,15.4g,0mg,14.2g,486.8mg,10.8g,289.4mg,3.4mg,1mcg,164.4mg
Scrambled Eggs,Whitney,Breakfast,Eggs,"['Gluten Friendly', 'Less Sodium', 'Vegetarian']",2023-01-19,132,3 OZ,8.5g,0g,2.8g,0g,0g,0g,320mg,0g,122.4mg,11.3g,48.9mg,2mg,1.9mcg,122.4mg
Scrambled Eggs with American Cheese,Whitney,Breakfast,"Milk, Eggs, Soybeans","['Gluten Friendly', 'Less Sodium', 'Vegetarian']",2023-01-19,167,3 OZ,11.5g,1.8g,5.1g,0g,0g,0.6g,284.1mg,0g,395.6mg,12.6g,120.6mg,1.8mg,1.7mcg,140.5mg
Chocolate Chip Muffins,Whitney,Breakfast,"Milk, Eggs, Wheat, Soybeans, The UConn bakery uses coconut (a tree nut).","['Less Sodium', 'Vegetarian']",2023-01-19,406,1 EACH,18.9g,53.7g,3.3g,0.5g,0g,35.2g,63.5mg,29.9g,228.8mg,4.7g,34.2mg,0.8mg,0.4mcg,81mg
Grilled Chicken Bella,Whitney,Lunch,,"['Gluten Friendly', 'Less Sodium', 'Smart Check']",2023-01-19,119,1 EACH,3.5g,1g,0.7g,0.4g,0g,0.4g,60.4mg,0g,249.1mg,21.9g,5.3mg,0.6mg,0mcg,31.4mg
Lemon Tofu,Whitney,Lunch,"Wheat, Soybeans, Coconut","['Contains Nuts', 'Smart Check', 'Vegetarian', 'Vegan']",2023-01-19,198,4 OZ,6.7g,23.5g,1.6g,0.6g,0g,5.5g,0mg,4g,586.1mg,11.4g,122.9mg,2.6mg,0mcg,175.4mg
Chickpea Rotini With Tomato and Mozzarella,Whitney,Lunch,Milk,"['Gluten Friendly', 'Less Sodium', 'Vegetarian']",2023-01-19,254,6 OZ,11.5g,27.8g,3.2g,5.5g,0g,7.6g,10.1mg,0.8g,300.8mg,13.6g,111.2mg,3.9mg,0mcg,144.6mg
Muffuletta,Whitney,Lunch,"Milk, Eggs, Wheat, Soybeans, The UConn bakery uses coconut (a tree nut).",[],2023-01-19,497,1 SLICE,28.2g,37.8g,9.9g,0.9g,0g,2.7g,62.4mg,0g,1397.8mg,22.9g,219.9mg,3.1mg,0mcg,63.7mg
Pancake Topping Bar,Whitney,Lunch,,[],2023-01-19,0,1 BAR,0g,0g,0g,0g,0g,0g,0mg,0g,36.3mg,0g,27.2mg,0mg,0mcg,0mg
Chicken Noodle Soup,Whitney,Lunch,"Eggs, Wheat",['Less Sodium'],2023-01-19,66,6 OZL,0.6g,7g,0.3g,0.5g,0g,1.5g,19mg,0g,271.1mg,6.7g,10.8mg,0.4mg,0mcg,39.5mg
Italian Vegetables,Whitney,Lunch,,"['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-01-19,31,4 OZ,0.9g,5.4g,0.1g,1.2g,0g,3.7g,0mg,0g,118.7mg,1.6g,15.7mg,0.4mg,0mcg,277.3mg
Marinara Sauce,Whitney,Lunch,,"['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-01-19,90,4 OZL,4g,12g,0g,2g,g,10g,0mg,0g,479mg,2g,40mg,1.4mg,0mcg,mg
Mozzarella Sticks,Whitney,Lunch,"Milk, Wheat, Soybeans, Gluten",['Vegetarian'],2023-01-19,308,3 EACH,17g,29.1g,4.2g,1.6g,0g,6.4g,20.6mg,0g,812.2mg,11.4g,299.7mg,2mg,0.1mcg,61.9mg
Cherry White Chocolate Cookies,Whitney,Lunch,"Milk, Eggs, Wheat, Soybeans, The UConn bakery uses coconut (a tree nut).","['Less Sodium', 'Vegetarian']",2023-01-19,180,1 EACH,7g,27g,3.5g,0g,0g,16g,15mg,0g,115mg,2g,26mg,0.7mg,mcg,mg
Jonathan Bar,Whitney,Lunch,"Milk, Eggs, Wheat, Soybeans, The UConn bakery uses coconut (a tree nut).","['Less Sodium', 'Vegetarian']",2023-01-19,344,1/35 HFPAN,14.6g,48.2g,8.6g,0g,0.4g,27.4g,49.7mg,27.1g,139.6mg,4g,6.9mg,1.3mg,0mcg,30.2mg
Crispy Dijon Scrod,Whitney,Dinner,"Fish, Soybeans","['Gluten Friendly', 'Less Sodium', 'Smart Check']",2023-01-19,51,1 EACH,1.5g,4.4g,0.4g,0.5g,0g,0.3g,11.3mg,0g,116.3mg,5.7g,18.1mg,1.3mg,0.2mcg,11mg
Belgian Waffle Bar,Whitney,Dinner,,[],2023-01-19,0,1 BAR,0g,0g,0g,0g,0g,0g,0mg,0g,36.3mg,0g,27.2mg,0mg,0mcg,0mg
Black Bean Burger,Whitney,Dinner,"Eggs, Fish, Wheat, Gluten",['Less Sodium'],2023-01-19,126,1 EACH,1.4g,23.1g,0.2g,1.1g,0g,1.3g,23.9mg,0.4g,394.1mg,5.8g,64mg,0.8mg,0mcg,276.5mg
Lebanese Beef Kofta Meatballs,Whitney,Dinner,Eggs,"['Gluten Friendly', 'Less Sodium']",2023-01-19,244,4 EACH,18.1g,3.4g,8.4g,1.1g,0.8g,0.9g,97.4mg,0g,278.5mg,17.2g,42.6mg,2.9mg,0.2mcg,77.4mg
Crush and Fry Potato,Whitney,Dinner,Gluten,"['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-01-19,163,4 OZ,10.4g,19.1g,0.7g,2.3g,0g,2.2g,0mg,0g,259.3mg,2.9g,18.9mg,0.8mg,0mcg,528.4mg
Honey Glazed Carrots,Whitney,Dinner,Soybeans,"['Gluten Friendly', 'Less Sodium', 'Vegetarian']",2023-01-19,77,3 OZ,2.3g,14.2g,0.7g,2.1g,0g,11.1g,0mg,5.5g,47.2mg,0.9g,22.7mg,0.4mg,mcg,273.3mg
Mujaddara,Whitney,Dinner,Soybeans,"['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-01-19,208,4 OZ,6.4g,30.5g,1.2g,4.1g,0g,1g,0mg,0g,387.8mg,5.3g,11.5mg,1.1mg,0mcg,25.6mg
Coconut Custard Pie,Whitney,Dinner,"Milk, Eggs, Wheat, Soybeans, Coconut, The UConn bakery uses coconut (a tree nut).",['Vegetarian'],2023-01-19,338,1/8 PIE,17.5g,40g,6.3g,0g,0g,18.8g,87.5mg,15g,512.5mg,7.5g,103.8mg,1.3mg,0mcg,156.3mg
Cage Free Boiled Eggs,Whitney,Breakfast,Eggs,"['Gluten Friendly', 'Less Sodium', 'Vegetarian']",2023-01-20,150,2 EA,10g,2g,3g,0g,0g,0g,430mg,0g,140mg,12g,40mg,1.4mg,0mcg,mg
Corned Beef Hash,Whitney,Breakfast,,['Gluten Friendly'],2023-01-20,185,3 OZ,11.7g,11.7g,4.9g,0g,0g,1.5g,33.9mg,0.8g,587.5mg,7.9g,36.5mg,1mg,0mcg,173.6mg
Country Style Hash Browns,Whitney,Breakfast,,"['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-01-20,154,4 OZ,5.6g,23.4g,0.4g,3g,0g,0g,0mg,0g,213.9mg,1.5g,0.9mg,0.5mg,0mcg,351.7mg
French Toast Stix,Whitney,Breakfast,"Wheat, Soybeans, Gluten",['Vegetarian'],2023-01-20,540,5 EACH,34.3g,54.7g,2.9g,1.3g,0g,12.7g,0mg,12.7g,572.3mg,6.4g,25.4mg,3.2mg,0mcg,63.6mg
Omelet Bar,Whitney,Breakfast,,[],2023-01-20,0,1 BAR,0g,0g,0g,0g,0g,0g,0mg,0g,36.3mg,0g,27.2mg,0mg,0mcg,0mg
Scrambled Eggs,Whitney,Breakfast,Eggs,"['Gluten Friendly', 'Less Sodium', 'Vegetarian']",2023-01-20,132,3 OZ,8.5g,0g,2.8g,0g,0g,0g,320mg,0g,122.4mg,11.3g,48.9mg,2mg,1.9mcg,122.4mg
Scrambled Eggs with American Cheese,Whitney,Breakfast,"Milk, Eggs, Soybeans","['Gluten Friendly', 'Less Sodium', 'Vegetarian']",2023-01-20,167,3 OZ,11.5g,1.8g,5.1g,0g,0g,0.6g,284.1mg,0g,395.6mg,12.6g,120.6mg,1.8mg,1.7mcg,140.5mg
Vegan French Toast,Whitney,Breakfast,"Wheat, Soybeans","['Smart Check', 'Vegetarian', 'Vegan']",2023-01-20,309,2 EACH,8g,48.2g,0.2g,0.1g,0g,9g,0mg,7.2g,542.9mg,11.4g,184.4mg,2.8mg,1.5mcg,219.5mg
Cranberry Orange Bread,Whitney,Breakfast,"Milk, Eggs, Wheat, Soybeans, The UConn bakery uses coconut (a tree nut).","['Less Sodium', 'Vegetarian']",2023-01-20,260,1/16 LOAF,10g,40.1g,4.5g,0.8g,0g,23.5g,44.9mg,0g,210.6mg,3g,16.1mg,1.1mg,0mcg,50.1mg
Spinach Calzone,Whitney,Lunch,"Wheat, Soybeans, The UConn bakery uses coconut (a tree nut).","['Less Sodium', 'Smart Check', 'Vegetarian', 'Vegan']",2023-01-20,263,1 HALF,3.7g,42.1g,0.9g,2.6g,0g,0.7g,0mg,0.7g,444.6mg,12.2g,61mg,4.4mg,0mcg,129.9mg
Boneless Chinese BBQ Pork,Whitney,Lunch,"Wheat, Soybeans, Sesame",[],2023-01-20,206,4 OZ,8.5g,12.8g,2.4g,0g,0g,10.9g,60.8mg,8.5g,523.3mg,18g,0mg,1.2mg,0mcg,0mg
Buffalo Wings,Whitney,Lunch,"Soybeans, Gluten",[],2023-01-20,418,5 EACH,35g,2.8g,7.1g,0g,0g,0g,84.1mg,0g,887.9mg,25.2g,0mg,1.5mg,mcg,mg
Omelet Bar,Whitney,Lunch,,[],2023-01-20,0,1 BAR,0g,0g,0g,0g,0g,0g,0mg,0g,36.3mg,0g,27.2mg,0mg,0mcg,0mg
Teriyaki Chicken Wings,Whitney,Lunch,"Wheat, Soybeans, Gluten",[],2023-01-20,448,5 EACH,35g,10g,7.1g,0g,0g,6g,84.1mg,4.8g,1024.6mg,26.4g,0mg,1.5mg,mcg,mg
Whitney Clam Chowder,Whitney,Lunch,"Milk, Wheat",[],2023-01-20,253,6 OZ,13.8g,17.4g,8.9g,0.1g,0g,2.5g,65.5mg,0g,774.7mg,9.7g,812.4mg,1.4mg,0mcg,57mg
Baked Tater Tots,Whitney,Lunch,Soybeans,"['Gluten Friendly', 'Vegetarian', 'Vegan']",2023-01-20,207,4 OZ,9.7g,26.3g,1.4g,2.8g,0g,0g,0mg,0g,497.9mg,2.8g,0mg,0.5mg,0mcg,318.1mg
Fresh Steamed Green beans,Whitney,Lunch,,"['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-01-20,46,3 OZ,1.8g,7.3g,0.3g,3g,0g,3.3g,0mg,0g,225.9mg,1.7g,41.2mg,0.6mg,0mcg,136.2mg
Garlic Parmesan Butter,Whitney,Lunch,Milk,"['Less Sodium', 'Vegetarian']",2023-01-20,328,2 OZ,32.7g,1.9g,21g,0.3g,0g,0.1g,92.2mg,0g,452.2mg,7.3g,189.7mg,0.7mg,0mcg,23.5mg
Jasmine Rice,Whitney,Lunch,,"['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-01-20,86,3 OZ,0g,19.6g,0g,0.6g,0g,0g,0mg,0g,2.4mg,1.7g,13.4mg,0.2mg,0mcg,0mg
Chocolate Brownies,Whitney,Lunch,"Milk, Eggs, Wheat, Soybeans, The UConn bakery uses coconut (a tree nut).","['Less Sodium', 'Vegetarian']",2023-01-20,203,1/96 SHEET,8.8g,28.4g,2g,1g,0g,21.3g,14.2mg,19.2g,122.1mg,1.5g,12.4mg,1.7mg,0.1mcg,76.3mg
Oatmeal Raisin Cookies,Whitney,Lunch,"Wheat, Soybeans, The UConn bakery uses coconut (a tree nut).","['Less Sodium', 'Vegetarian', 'Vegan']",2023-01-20,280,2 EACH,9g,44g,3g,0g,0g,26g,0mg,16g,170mg,4g,18mg,1.4mg,0mcg,164mg
Outback Chicken with Apple Smoked Bacon,Whitney,Dinner,"Eggs, Soybeans","['Gluten Friendly', 'Less Sodium', 'Smart Check']",2023-01-20,315,1 EACH,11.3g,11.4g,2.8g,0.2g,0g,10.2g,179.4mg,0g,441.8mg,38g,44.9mg,2.2mg,0mcg,11.1mg
